Plate,Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
1,F1,AH41,C,UNKNOWN,VIC,NFQ-MGB,39.89712906,39.89712906,,,,,FALSE,0.02,TRUE,3,37,,Y,N,Y
1,F1,AH41,D,UNKNOWN,FAM,NFQ-MGB,28.97792435,28.39629745,0.822543263,,,,FALSE,0.02,TRUE,3,26,,Y,N,Y
1,F2,AH41,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,39.89712906,,,,,FALSE,0.02,TRUE,3,39,,Y,N,Y
1,F2,AH41,D,UNKNOWN,FAM,NFQ-MGB,27.81467247,28.39629745,0.822543263,,,,FALSE,0.02,TRUE,3,25,,Y,N,Y
1,F3,AH42,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,Y,N,Y
1,F3,AH42,D,UNKNOWN,FAM,NFQ-MGB,26.77232361,28.63766861,2.637997627,,,,FALSE,0.02,TRUE,3,25,,Y,N,Y
1,F4,AH42,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,Y,Y,Y
1,F4,AH42,D,UNKNOWN,FAM,NFQ-MGB,30.50301552,28.63766861,2.637997627,,,,FALSE,0.02,TRUE,3,29,,Y,Y,Y
1,F5,AH43,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,Y,Y
1,F5,AH43,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,28.22428131,,,,,FALSE,0.02,TRUE,3,39,,N,Y,Y
1,F6,AH43,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,38,,N,N,Y
1,F6,AH43,D,UNKNOWN,FAM,NFQ-MGB,28.22428131,28.22428131,,,,,FALSE,0.02,TRUE,3,26,,N,N,Y
1,F7,AH44,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,Y
1,F7,AH44,D,UNKNOWN,FAM,NFQ-MGB,26.47878265,26.54036331,0.087086856,,,,FALSE,0.02,TRUE,3,25,,N,N,Y
1,F8,AH44,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,Y
1,F8,AH44,D,UNKNOWN,FAM,NFQ-MGB,26.60194206,26.54036331,0.087086856,,,,FALSE,0.02,TRUE,3,25,,N,N,Y
1,F9,AH45,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,Y,N,Y
1,F9,AH45,D,UNKNOWN,FAM,NFQ-MGB,25.72283936,26.12941742,0.574986875,,,,FALSE,0.02,TRUE,3,24,,Y,N,Y
1,F10,AH45,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,Y,N,Y
1,F10,AH45,D,UNKNOWN,FAM,NFQ-MGB,26.53599358,26.12941742,0.574986875,,,,FALSE,0.02,TRUE,3,25,,Y,N,Y
1,F11,AH46,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,Y,N,Y
1,F11,AH46,D,UNKNOWN,FAM,NFQ-MGB,26.54428673,26.93400192,0.551139176,,,,FALSE,0.02,TRUE,3,25,,Y,N,Y
1,F12,AH46,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,Y,N,Y
1,F12,AH46,D,UNKNOWN,FAM,NFQ-MGB,27.32371521,26.93400192,0.551139176,,,,FALSE,0.02,TRUE,3,25,,Y,N,Y
1,G1,AH47,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,Y,N,Y
1,G1,AH47,D,UNKNOWN,FAM,NFQ-MGB,26.18767738,25.7918663,0.559760034,,,,FALSE,0.02,TRUE,3,24,,Y,N,Y
1,G2,AH47,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,Y,N,Y
1,G2,AH47,D,UNKNOWN,FAM,NFQ-MGB,25.39605713,25.7918663,0.559760034,,,,FALSE,0.02,TRUE,3,23,,Y,N,Y
1,G3,AH48,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,38,,Y,N,Y
1,G3,AH48,D,UNKNOWN,FAM,NFQ-MGB,27.56664085,28.23394203,0.943706393,,,,FALSE,0.02,TRUE,3,25,,Y,N,Y
1,G4,AH48,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,Y,Y,Y
1,G4,AH48,D,UNKNOWN,FAM,NFQ-MGB,28.90124321,28.23394203,0.943706393,,,,FALSE,0.02,TRUE,3,27,,Y,Y,Y
1,G5,AH49,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,Y,N,Y
1,G5,AH49,D,UNKNOWN,FAM,NFQ-MGB,28.26447868,27.43048859,1.179441452,,,,FALSE,0.02,TRUE,3,26,,Y,N,Y
1,G6,AH49,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,Y,N,Y
1,G6,AH49,D,UNKNOWN,FAM,NFQ-MGB,26.59649658,27.43048859,1.179441452,,,,FALSE,0.02,TRUE,3,25,,Y,N,Y
1,G7,AH50,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,Y
1,G7,AH50,D,UNKNOWN,FAM,NFQ-MGB,32.31042862,32.07872772,0.327671856,,,,FALSE,0.02,TRUE,3,31,,N,N,Y
1,G8,AH50,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,Y,Y
1,G8,AH50,D,UNKNOWN,FAM,NFQ-MGB,31.84703064,32.07872772,0.327671856,,,,FALSE,0.02,TRUE,3,30,,N,Y,Y
1,G9,AH51,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,39.2844162,,,,,FALSE,0.02,TRUE,3,35,,Y,Y,N
1,G9,AH51,D,UNKNOWN,FAM,NFQ-MGB,30.50054169,29.94865036,0.780492187,,,,FALSE,0.02,TRUE,3,29,,Y,Y,N
1,G10,AH51,C,UNKNOWN,VIC,NFQ-MGB,39.2844162,39.2844162,,,,,FALSE,0.02,TRUE,3,35,,Y,N,N
1,G10,AH51,D,UNKNOWN,FAM,NFQ-MGB,29.39675903,29.94865036,0.780492187,,,,FALSE,0.02,TRUE,3,27,,Y,N,N
1,G11,AH52,C,UNKNOWN,VIC,NFQ-MGB,32.4333992,32.4333992,,,,,FALSE,0.02,TRUE,3,31,,N,N,N
1,G11,AH52,D,UNKNOWN,FAM,NFQ-MGB,33.77704239,33.77704239,,,,,FALSE,0.02,TRUE,3,32,,N,N,N
1,G12,AH52,C,UNKNOWN,VIC,NFQ-MGB,,,,,,,FALSE,0.02,TRUE,3,15,,N,N,N
1,G12,AH52,D,UNKNOWN,FAM,NFQ-MGB,,,,,,,FALSE,0.02,TRUE,3,15,,N,N,N
1,H1,Neg.Con,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,N
1,H1,Neg.Con,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,N
1,H2,AH53,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,Y
1,H2,AH53,D,UNKNOWN,FAM,NFQ-MGB,30.78421021,30.74694633,0.05269907,,,,FALSE,0.02,TRUE,3,29,,N,N,Y
1,H3,AH53,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,36,,N,N,N
1,H3,AH53,D,UNKNOWN,FAM,NFQ-MGB,30.70968246,30.74694633,0.05269907,,,,FALSE,0.02,TRUE,3,29,,N,N,N
1,H4,AH54,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,N,Y
1,H4,AH54,D,UNKNOWN,FAM,NFQ-MGB,30.2699337,30.48461151,0.303601623,,,,FALSE,0.02,TRUE,3,28,,N,N,Y
1,H5,AH54,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.02,TRUE,3,39,,N,Y,Y
